PNR,SourceSystemTicketingDate,SupplierTicketingDate,SourceSystem,SupplierName,SourceSystemStatus,SupplierStatus,IsOrphan,PCC,TicketingAgentSignOn
DCQ1H8,,2025-09-10T05:01:32.727+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ5VV,,2025-09-10T05:23:18.918+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ2N6,,2025-09-10T05:07:31.339+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ0DQ,,2025-09-10T04:56:18.915+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCQ6YZ,,2025-09-10T05:28:26.168+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ7W0,,2025-09-10T05:32:35.454+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCQ8HN,,2025-09-10T05:35:25.667+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQ6C6,,2025-09-10T05:25:41.369+00:00,,Galileo,,Ticketed,TRUE,WV5,ZWV5GWS
DCQBQ7,,2025-09-10T05:45:35.016+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQCK5,,2025-09-10T05:49:08.675+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQCRT,,2025-09-10T05:50:03.372+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQDL3,,2025-09-10T05:53:24.808+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQD6T,,2025-09-10T05:51:57.481+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQDN4,,2025-09-10T05:53:39.771+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQFVX,,2025-09-10T05:58:36.933+00:00,,Galileo,,Ticketed,TRUE,7K1J,Z7K1JGWS
DCQGHW,,2025-09-10T06:01:10.740+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQJ5J,,2025-09-10T06:07:39.539+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
DCQJLR,,2025-09-10T06:09:09.966+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
X2EQ6V,,2025-09-10T04:24:27.968+00:00,,Galileo,,Ticketed,TRUE,,
DCQK62,,2025-09-10T06:11:14.424+00:00,,Galileo,,Ticketed,TRUE,8QV0,Z8QV0GWS
DCQK4D,,2025-09-10T06:11:00.483+00:00,,Galileo,,Ticketed,TRUE,8JY1,Z8JY1GWS
