SP_PNR,AIRLINE_PNR,BOOKING_DATE
CLTB8Q,74C2HB,2025-06-20 11:00:22
CLTB8S,74BG9Y,2025-06-20 11:00:22
CLTBQR,98GURF,2025-06-20 11:01:56
CLT7XJ,74AI6G,2025-06-20 11:02:08
CLTCT9,,2025-06-20 11:05:43
CLTFM7,13595Q,2025-06-20 11:11:38
CLDGBJ,9PAHRR,2025-06-20 11:14:13
CLTGHF,143M23,2025-06-20 11:14:27
CLTF8W,GHZUCN,2025-06-20 11:15:11
CLTGQX,,2025-06-20 11:15:17
CLTHG0,143M29,2025-06-20 11:17:55
CLTGL6,,2025-06-20 11:19:54
CLTJ1H,2TYSDQ,2025-06-20 11:20:04
CLTJKY,08AFCI,2025-06-20 11:21:51
CLTJPN,74FDHR,2025-06-20 11:22:15
CLTK95,08AFCQ,2025-06-20 11:24:09
CLTKJF,74I4R4,2025-06-20 11:24:53
CLTL60,143M2K,2025-06-20 11:27:01
CLTL6Q,98H060,2025-06-20 11:27:06
CLTLK2,74HRCV,2025-06-20 11:28:12
CLTLTF,98H06G,2025-06-20 11:29:11
CLTLZ2,GLNXFC,2025-06-20 11:29:40
CLTM6Y,,2025-06-20 11:31:20
CLTN2N,143M30,2025-06-20 11:33:13
CLTNKD,74IONJ,2025-06-20 11:34:45
CLTNQZ,74I7CR,2025-06-20 11:35:15
CLTNW9,,2025-06-20 11:35:45
CLTPCJ,74JMUU,2025-06-20 11:37:16
CLTPFS,74KRVL,2025-06-20 11:37:29
CLTPHK,,2025-06-20 11:37:40
CLTPHK,,2025-06-20 11:37:40
CLTQ8M,,2025-06-20 11:41:03
CLTQLC,LQJRPU,2025-06-20 11:41:16
CLTQM8,74JOFE,2025-06-20 11:41:21
CLTFBR,,2025-06-20 11:41:22
CLTR61,98H0A0,2025-06-20 11:43:08
CLTSW5,74MIVY,2025-06-20 11:48:39
CLTT04,,2025-06-20 11:49:03
CLTT04,,2025-06-20 11:49:03
CLTS2K,,2025-06-20 11:51:51
CLTV95,143M3F,2025-06-20 11:53:11
CLTS2K,,2025-06-20 11:53:32
CLTVNT,LQIRIW,2025-06-20 11:54:17
CLTVTP,74N8EV,2025-06-20 11:54:46
CLTVND,,2025-06-20 11:55:06
CLTW3Q,CL3EW2,2025-06-20 11:55:47
CLTVND,,2025-06-20 11:56:54
CLTTY7,,2025-06-20 11:57:13
CLTWL6,GCCKGW,2025-06-20 11:57:18
CLTTY7,,2025-06-20 11:58:19
CLTX5Q,K5U4EF,2025-06-20 11:59:13
CLTX7R,YUZOFQ,2025-06-20 11:59:27
CLTXGR,74NHLI,2025-06-20 12:00:07
CLTY09,74PSFU,2025-06-20 12:01:56
CLTSZ9,,2025-06-20 12:03:03
CLTYM8,143M3R,2025-06-20 12:03:50
CLTZQW,141UJS,2025-06-20 12:07:34
CLV05C,74OKPI,2025-06-20 12:09:01
CLV09X,74OQ5H,2025-06-20 12:09:29
CLV24X,SGFZFT,2025-06-20 12:15:25
CLV3TW,98H0JT,2025-06-20 12:20:36
CLV5KX,NCBENN,2025-06-20 12:25:51
CLV5P8,,2025-06-20 12:26:11
CLV5P8,,2025-06-20 12:26:11
CLV6RQ,74T8TH,2025-06-20 12:29:25
CLV6TB,,2025-06-20 12:29:38
CLV750,2TJ379,2025-06-20 12:30:44
CLVB5Z,,2025-06-20 12:40:16
CLVBC2,74WUR4,2025-06-20 12:40:47
CLVBMY,74XHQ7,2025-06-20 12:41:42
CLVBYZ,EG1SHX,2025-06-20 12:42:43
CLV9ZJ,,2025-06-20 12:44:59
CLVD3W,,2025-06-20 12:46:16
CLVDS6,98H0U8,2025-06-20 12:48:14
CBS7L6,8U238Q,2025-06-20 12:49:39
CLVDMC,,2025-06-20 12:50:20
CLVG1B,GDHZXG,2025-06-20 12:52:07
CLVGXX,74YTDT,2025-06-20 12:54:44
CLJDTH,CLJDTH,2025-06-20 12:57:57
CLVJFN,74ZF73,2025-06-20 12:59:03
CLVJTF,FIS87S,2025-06-20 13:00:14
CLVK1T,HRHSAT,2025-06-20 13:00:59
CLVB7Q,,2025-06-20 13:01:17
CLVK9J,75235K,2025-06-20 13:01:41
CLVL93,7525OJ,2025-06-20 13:04:40
CLVN6W,753BDJ,2025-06-20 13:10:42
CLVN8H,754R3Z,2025-06-20 13:10:49
CLVLSH,,2025-06-20 13:11:03
CLVNZW,PSHBF9,2025-06-20 13:13:09
CLV2LJ,,2025-06-20 13:14:00
CL97SC,,2025-06-20 13:14:23
CLVQ26,I6VG3S,2025-06-20 13:16:38
CLVQWM,7552M7,2025-06-20 13:19:11
CLVRX4,755K6V,2025-06-20 13:22:26
CLVSWK,758C7K,2025-06-20 13:25:39
CLVTR3,143M6H,2025-06-20 13:28:27
CLVVKB,1885E8,2025-06-20 13:31:15
CLVVLK,758KA7,2025-06-20 13:31:24
CLTQFS,,2025-06-20 13:31:51
CLVV5W,GLFNQJ,2025-06-20 13:32:38
CLTQFS,,2025-06-20 13:37:01
CLVYJ6,,2025-06-20 13:40:56
CLVZLY,USXHDE,2025-06-20 13:44:26
CLVSHR,,2025-06-20 13:44:50
CLW02D,98H1PG,2025-06-20 13:45:54
CLW03C,,2025-06-20 13:46:02
CLW03C,,2025-06-20 13:46:02
CLW0DG,VXK7CV,2025-06-20 13:46:59
CLW19D,143M73,2025-06-20 13:49:55
CLW1GQ,1885YK,2025-06-20 13:50:32
CLW28C,J57VWJ,2025-06-20 13:52:57
CLW2H3,75DSNF,2025-06-20 13:53:36
CLVXJQ,75BHCL,2025-06-20 13:53:55
CLVXJQ,75BHCL,2025-06-20 13:54:46
CLW345,75CP6P,2025-06-20 13:55:42
CLW35C,HPMVSK,2025-06-20 13:55:50
CLW3HL,75DBEL,2025-06-20 13:56:57
CLVZYC,75BZSD,2025-06-20 13:59:32
CLW4SY,F6NAQN,2025-06-20 14:01:09
CLW4XL,143M7L,2025-06-20 14:01:30
CLW5CC,75GFEU,2025-06-20 14:02:54
CLW5FX,75G8QM,2025-06-20 14:03:11
CLW5GM,75FKYC,2025-06-20 14:03:16
CLW54Q,,2025-06-20 14:05:12
CLW54Q,,2025-06-20 14:06:10
CLW6CK,PSHFQS,2025-06-20 14:06:25
CLW78B,75GBXM,2025-06-20 14:09:16
CLW78P,,2025-06-20 14:09:18
CLW79G,75FN7C,2025-06-20 14:09:22
CLW7GR,75FUT5,2025-06-20 14:09:58
CLVZK7,,2025-06-20 14:11:46
CLW58C,75EOEJ,2025-06-20 14:12:25
CLW89R,,2025-06-20 14:15:28
CLW89R,,2025-06-20 14:16:18
